Wavelength (nm),Colloid solution,1 drop of NaCl,2 drops of NaCl,3 drops of NaCl,4 drops of NaCl,5 drops of NaCl
640.5,0.313,0.569,0.887,1.507,1.558,1.395
641,0.31,0.567,0.885,1.506,1.559,1.396
641.5,0.308,0.564,0.883,1.504,1.559,1.397
642,0.305,0.562,0.881,1.503,1.559,1.397
642.5,0.302,0.559,0.879,1.501,1.56,1.398
643,0.299,0.557,0.877,1.5,1.56,1.399
643.5,0.297,0.555,0.875,1.498,1.56,1.4
644,0.294,0.552,0.873,1.496,1.561,1.401
644.5,0.291,0.55,0.871,1.495,1.561,1.401
645,0.288,0.548,0.869,1.493,1.561,1.402
645.5,0.286,0.546,0.867,1.491,1.561,1.403
646,0.283,0.543,0.865,1.49,1.562,1.403
646.5,0.281,0.541,0.863,1.488,1.562,1.404
647,0.279,0.539,0.861,1.487,1.562,1.405
647.5,0.276,0.537,0.86,1.485,1.563,1.406
648,0.274,0.535,0.858,1.483,1.563,1.406
648.5,0.272,0.533,0.856,1.482,1.563,1.407
649,0.269,0.531,0.855,1.48,1.563,1.408
649.5,0.267,0.529,0.853,1.479,1.563,1.408
650,0.265,0.527,0.851,1.477,1.564,1.409
650.5,0.263,0.525,0.85,1.476,1.564,1.41
651,0.261,0.523,0.848,1.474,1.564,1.41
